,season,match_id,inning,batting_team,batsman,batsman_runs,balls_faced,Strike-Rate,More-Than-30,More-Than-50,More-Than-100,4s,6s,dismissal_kind,fielder
112,2008,8,2,Mumbai Indians,DJ Bravo,24,16.0,150.0,0,0,0,2.0,1.0,caught,JDP Oram
113,2008,8,2,Mumbai Indians,Harbhajan Singh,28,14.0,200.0,0,0,0,1.0,3.0,caught,S Badrinath
114,2008,8,2,Mumbai Indians,L Ronchi,2,3.0,66.67,0,0,0,0.0,0.0,run out,S Badrinath
115,2008,8,2,Mumbai Indians,MA Khote,9,5.0,180.0,0,0,0,0.0,1.0,caught,SK Raina
116,2008,8,2,Mumbai Indians,RV Uthappa,43,36.0,119.44,1,0,0,6.0,1.0,bowled,0
117,2008,8,2,Mumbai Indians,SM Pollock,17,15.0,113.33,0,0,0,0.0,1.0,bowled,0
118,2008,8,2,Mumbai Indians,ST Jayasuriya,20,11.0,181.82,0,0,0,4.0,0.0,caught,Joginder Sharma
119,2008,9,1,Deccan Chargers,A Symonds,117,53.0,220.75,1,1,1,11.0,7.0,0,0
120,2008,9,1,Deccan Chargers,AC Gilchrist,13,9.0,144.44,0,0,0,3.0,0.0,stumped,Kamran Akmal
121,2008,9,1,Deccan Chargers,AS Yadav,16,9.0,177.78,0,0,0,3.0,0.0,caught,Kamran Akmal
122,2008,9,1,Deccan Chargers,RG Sharma,36,30.0,120.0,1,0,0,3.0,1.0,caught,D Salunkhe
123,2008,9,1,Deccan Chargers,Shahid Afridi,10,4.0,250.0,0,0,0,1.0,1.0,caught,RA Jadeja
124,2008,9,1,Deccan Chargers,VVS Laxman,16,16.0,100.0,0,0,0,3.0,0.0,caught and bowled,0
125,2008,9,2,Rajasthan Royals,D Salunkhe,1,1.0,100.0,0,0,0,0.0,0.0,run out,VVS Laxman
126,2008,9,2,Rajasthan Royals,GC Smith,71,45.0,157.78,1,1,0,9.0,2.0,caught,D Kalyankrishna
127,2008,9,2,Rajasthan Royals,Kamran Akmal,12,9.0,133.33,0,0,0,1.0,1.0,caught,SB Bangar
128,2008,9,2,Rajasthan Royals,M Kaif,34,16.0,212.5,1,0,0,2.0,3.0,caught,A Symonds
129,2008,9,2,Rajasthan Royals,Pankaj Singh,4,3.0,133.33,0,0,0,0.0,0.0,0,0
130,2008,9,2,Rajasthan Royals,RA Jadeja,1,3.0,33.33,0,0,0,0.0,0.0,bowled,0
131,2008,9,2,Rajasthan Royals,SK Warne,22,9.0,244.44,0,0,0,2.0,2.0,0,0
132,2008,9,2,Rajasthan Royals,SR Watson,4,6.0,66.67,0,0,0,0.0,0.0,bowled,0
133,2008,9,2,Rajasthan Royals,YK Pathan,61,28.0,217.86,1,1,0,4.0,6.0,caught,A Symonds
134,2008,10,1,Kings XI Punjab,B Lee,16,8.0,200.0,0,0,0,2.0,1.0,0,0
135,2008,10,1,Kings XI Punjab,DPMD Jayawardene,12,7.0,171.43,0,0,0,0.0,1.0,caught,AM Rahane (sub)
136,2008,10,1,Kings XI Punjab,IK Pathan,6,3.0,200.0,0,0,0,0.0,0.0,caught,DS Kulkarni
137,2008,10,1,Kings XI Punjab,K Goel,18,21.0,85.71,0,0,0,1.0,1.0,run out,DJ Bravo
138,2008,10,1,Kings XI Punjab,KC Sangakkara,94,56.0,167.86,1,1,0,13.0,1.0,caught,DS Kulkarni
139,2008,10,1,Kings XI Punjab,PP Chawla,0,1.0,0.0,0,0,0,0.0,0.0,lbw,0
140,2008,10,1,Kings XI Punjab,RR Sarwan,7,9.0,77.78,0,0,0,0.0,0.0,caught,Harbhajan Singh
141,2008,10,1,Kings XI Punjab,S Sohal,0,4.0,0.0,0,0,0,0.0,0.0,caught,A Nehra
142,2008,10,1,Kings XI Punjab,S Sreesanth,0,1.0,0.0,0,0,0,0.0,0.0,caught,L Ronchi
143,2008,10,1,Kings XI Punjab,VRV Singh,4,2.0,200.0,0,0,0,1.0,0.0,run out,Harbhajan Singh
144,2008,10,1,Kings XI Punjab,Yuvraj Singh,18,9.0,200.0,0,0,0,1.0,1.0,caught,DJ Bravo
145,2008,10,2,Mumbai Indians,A Nehra,2,10.0,20.0,0,0,0,0.0,0.0,0,0
146,2008,10,2,Mumbai Indians,AM Nayar,2,3.0,66.67,0,0,0,0.0,0.0,caught,PP Chawla
147,2008,10,2,Mumbai Indians,DJ Bravo,23,21.0,109.52,0,0,0,4.0,0.0,bowled,0
148,2008,10,2,Mumbai Indians,DS Kulkarni,2,16.0,12.5,0,0,0,0.0,0.0,0,0
149,2008,10,2,Mumbai Indians,Harbhajan Singh,0,1.0,0.0,0,0,0,0.0,0.0,lbw,0
