batsman,2008,2009,2010,2011,2012,2013,2014,2015,2016
SA Asnodkar,311.0,98.0,5.0,9.0,,,,,
JR Hopes,221.0,,,196.0,,,,,
J Botha,,47.0,,230.0,58.0,43.0,,31.0,
LR Shukla,163.0,83.0,36.0,14.0,75.0,3.0,31.0,,
AL Menaria,,,,180.0,220.0,1.0,,,
MV Boucher,225.0,150.0,13.0,6.0,,,,,
CA Pujara,,,122.0,34.0,17.0,92.0,125.0,,
Azhar Mahmood,,,,,186.0,196.0,,6.0,
AR Patel,,,,,,,62.0,206.0,111.0
CJ Anderson,,,,,,,265.0,114.0,
DB Ravi Teja,109.0,65.0,,183.0,4.0,14.0,,,
S Sohal,4.0,115.0,,249.0,,,,,
Gurkeerat Singh,,,,,86.0,108.0,,35.0,113.0
DT Christian,,,,190.0,145.0,6.0,,,
P Kumar,112.0,65.0,4.0,27.0,35.0,47.0,1.0,17.0,24.0
JEC Franklin,,,,107.0,220.0,,,,
RN ten Doeschate,,,,107.0,21.0,85.0,52.0,61.0,
R Bhatia,34.0,8.0,24.0,25.0,35.0,99.0,67.0,0.0,34.0
AP Tare,,,50.0,,,123.0,126.0,14.0,8.0
R Vinay Kumar,25.0,47.0,27.0,50.0,68.0,70.0,4.0,0.0,13.0
DB Das,103.0,,,,126.0,75.0,,,
LA Pomersbach,152.0,41.0,,51.0,,58.0,,,
UBT Chand,,,,2.0,36.0,158.0,2.0,102.0,0.0
DJG Sammy,,,,,,174.0,108.0,13.0,
DJ Hooda,,,,,,,,151.0,144.0
A Mishra,37.0,26.0,39.0,68.0,16.0,89.0,4.0,8.0,4.0
CH Morris,,,,,,14.0,,76.0,195.0
Y Nagar,,20.0,1.0,111.0,153.0,,,,
VVS Laxman,155.0,19.0,64.0,44.0,,,,,
GH Vihari,,,,,,241.0,,39.0,
A Ashish Reddy,,,,,35.0,125.0,,73.0,47.0
B Chipli,20.0,,,207.0,37.0,16.0,,,
MJ Lumb,,,278.0,0.0,,,,,
R Sathish,,,112.0,25.0,,109.0,,,24.0
KV Sharma,,1.0,,,,85.0,42.0,104.0,36.0
M Kaif,176.0,,28.0,41.0,14.0,,,,
JC Buttler,,,,,,,,,255.0
SM Katich,96.0,145.0,,,,,,,
SP Goswami,82.0,53.0,8.0,29.0,69.0,,,,
MD Mishra,,,166.0,67.0,4.0,,,,
KH Pandya,,,,,,,,,237.0
R Ashwin,,8.0,30.0,2.0,18.0,35.0,45.0,52.0,41.0
MR Marsh,,,28.0,50.0,,140.0,,,7.0
K Goel,76.0,124.0,18.0,,,,,,
AA Jhunjhunwala,,,183.0,10.0,24.0,,,,
P Negi,,,,,36.0,,,116.0,57.0
PD Collingwood,,,203.0,,,,,,
RR Pant,,,,,,,,,198.0
SK Warne,70.0,108.0,10.0,10.0,,,,,
SP Fleming,196.0,,,,,,,,
AS Raut,,78.0,56.0,60.0,,,,,
BJ Rohrer,,,,,,193.0,,,
Salman Butt,193.0,,,,,,,,
YV Takawale,70.0,18.0,,,,,104.0,,
FY Fazal,,,164.0,19.0,,,,,
AC Voges,,,181.0,,,,,,
AB Agarkar,54.0,66.0,40.0,7.0,,12.0,,,
MF Maharoof,125.0,21.0,31.0,,,,,,
SN Khan,,,,,,,,111.0,66.0
DH Yagnik,,,,16.0,25.0,125.0,4.0,,
CM Gautam,,,,,,44.0,121.0,4.0,
MN van Wyk,,167.0,,,,,,,
DW Steyn,2.0,0.0,13.0,36.0,19.0,53.0,22.0,20.0,1.0
PA Reddy,,,,,73.0,91.0,,,
RE van der Merwe,,122.0,1.0,14.0,,22.0,,,
R McLaren,,,66.0,90.0,,3.0,,,
HM Amla,,,,,,,,,157.0
Bipul Sharma,,,9.0,23.0,72.0,,,1.0,51.0
HH Pandya,,,,,,,,112.0,44.0
KS Williamson,,,,,,,,31.0,124.0
B Kumar,,,,1.0,40.0,52.0,1.0,17.0,43.0
R Dhawan,,,,,,21.0,82.0,36.0,14.0
SM Pollock,147.0,,,,,,,,
MP Stoinis,,,,,,,,,146.0
S Vidyut,145.0,,,,,,,,
N Saini,,,,,140.0,,,,
S Anirudha,1.0,,30.0,83.0,19.0,0.0,3.0,,
MN Samuels,,,,,124.0,8.0,,,
SB Styris,112.0,14.0,,5.0,,,,,
MG Johnson,,,,,,39.0,56.0,31.0,5.0
W Jaffer,115.0,15.0,,,,,,,
Kamran Akmal,128.0,,,,,,,,
D Wiese,,,,,,,,122.0,5.0
P Dogra,,,107.0,,15.0,5.0,,,
UT Khawaja,,,,,,,,,127.0
M Morkel,,8.0,9.0,40.0,3.0,57.0,4.0,4.0,1.0
BB Samantray,,,,,2.0,123.0,,,
MC Juneja,,,,,,125.0,,,
B Lee,17.0,28.0,11.0,5.0,42.0,21.0,,,
AB McDonald,,3.0,65.0,8.0,47.0,0.0,,,
Sachin Baby,,,,,,3.0,,,119.0
DL Vettori,,34.0,33.0,23.0,31.0,,,,
NK Patel,103.0,18.0,,,,,,,
AC Blizzard,,,,120.0,0.0,,,,
Misbah-ul-Haq,117.0,,,,,,,,
RJ Harris,,21.0,45.0,31.0,18.0,2.0,,,
KK Cooper,,,,,38.0,39.0,39.0,,
M Kartik,30.0,21.0,22.0,12.0,26.0,2.0,,,
Z Khan,34.0,8.0,24.0,21.0,12.0,,8.0,,6.0
DJ Harris,,,,,111.0,,,,
LJ Wright,,,,,,106.0,,,
JDP Oram,18.0,88.0,,0.0,,,,,
N Rana,,,,,,,,,104.0
RJ Quiney,,103.0,,,,,,,
MS Gony,35.0,13.0,2.0,0.0,4.0,45.0,,,
SD Chitnis,18.0,6.0,,9.0,66.0,,,,
MJ Clarke,,,,,98.0,,,,
CJ Ferguson,,,,48.0,50.0,,,,
MA Starc,,,,,,,85.0,11.0,
PR Shah,34.0,53.0,,5.0,,,,,
DJ Jacobs,,,,92.0,0.0,,,,
RT Ponting,39.0,,,,,52.0,,,
S Rana,,,,18.0,,,73.0,,
DS Kulkarni,2.0,9.0,,2.0,10.0,,35.0,4.0,27.0
CA Lynn,,,,,6.0,,58.0,,25.0
SW Billings,,,,,,,,,88.0
AP Majumdar,,,,,87.0,,,,
UT Yadav,,,3.0,1.0,2.0,38.0,2.0,29.0,9.0
RE Levi,,,,,83.0,,,,
Iqbal Abdulla,1.0,,0.0,15.0,2.0,8.0,,20.0,37.0
CR Brathwaite,,,,,,,,,83.0
LA Carseldine,,81.0,,,,,,,
Shahid Afridi,81.0,,,,,,,,
WPUJC Vaas,21.0,30.0,30.0,,,,,,
SL Malinga,,0.0,1.0,8.0,55.0,9.0,2.0,6.0,
AD Mascarenhas,9.0,39.0,12.0,,14.0,5.0,,,
B Akhil,46.0,17.0,,13.0,,,,,
TR Birt,,,,75.0,,,,,
BCJ Cutting,,,,,,,8.0,,65.0
M Klinger,,,,73.0,,,,,
RR Sarwan,73.0,,,,,,,,
AA Bilakhia,,67.0,2.0,,,,,,
RR Powar,28.0,23.0,5.0,11.0,,,,,
R Sharma,,,29.0,24.0,2.0,11.0,,,
Mohammad Hafeez,64.0,,,,,,,,
WD Parnell,,,,37.0,19.0,5.0,2.0,,
Anirudh Singh,,,63.0,,,,,,
Ankit Sharma,,,,,18.0,,34.0,7.0,3.0
A Flintoff,,62.0,,,,,,,
MM Sharma,,,,,,0.0,1.0,28.0,32.0
MJ Guptill,,,,,,,,,57.0
WA Mota,26.0,30.0,,,,,,,
M Rawat,34.0,16.0,,,,5.0,,,
TM Head,,,,,,,,,54.0
RR Rossouw,,,,,,,39.0,14.0,
A Chopra,42.0,11.0,,,,,,,
Shoaib Malik,52.0,,,,,,,,
RP Singh,27.0,8.0,9.0,2.0,6.0,,,,
R Rampaul,,,,,,38.0,13.0,,
KB Arun Karthik,,,3.0,7.0,,41.0,,,
RV Gomez,,,,46.0,,4.0,,,
SB Bangar,47.0,2.0,,,,,,,
AG Paunikar,,,0.0,49.0,,,,,
AS Yadav,49.0,,,,,,,,
J Suchith,,,,,,,,48.0,
